Product_name,Brand_name,Ingredients
Veg stock cubes,Maggi,"lodised salt, Sugar, Flavour enhancer (635), Mixed spices (Dehydrated onion, Dried garlic, Black pepper powder, Turmeric powder, Nutmeg powder), Palm oil, Starch, Nature identical flavouring substances, Dehydrated carrot bits, Toasted onion powder, Acidity regulator (330), Dehydrated coriander leaves, Water, Colour (150d) and Natural flavouring substance Contains Soy.
May contains Wheat and Milk."
Rich Tomato Ketchup,Maggi,"Water, Tomato paste (24.5%), Sugar, lodized salt, Thickeners (1422 & 415), Acidity Regulator (260), Dehydrated onion, Dried garlic, Preservative (211) and Mixed spices."
Hot & Sweet tomato chilli sauce,Maggi,"Water, Sugar, Tomato paste (11.9%), Red chilli puree (6.6%), lodized salt, Acidity regulator (260), Starch, Mixed Spices, Garlic powder, Thickener (415), Onion powder and Preservative (211).
"
Garam Masala,MDH,"Coriander seeds, Cumin, Black Pepper, Cassia, Dried Ginger, Fenugreek Leaves, Cardamom Amomum, Yellow Chillies, Cloves, Nutmeg, lodised Salt, Mace"
Kitchen king masala,MDH,"Coriander seeds, Cumin, Red Chillies, Turmeric, Black Pepper, lodised Salt, Dried Ginger, Mustard seeds, Fennel, Garlic, Cassia, Fenugreek Leaves, Cardamom Amomum, Cloves ,Nutmeg, Green Cardamom, Mace, Asafoetida"
Chana masala,MDH,"Coriander seeds, Unripe Dry Mango, lodised Salt, Cumin, Red Chillies, Kachri, Black Salt, Pomegranate Seeds, Black Pepper, Seedless Tamarind, Dried Ginger, Mint Leaves, Cassia,,Fenugreek Leaves, Cardamom Amomum, Nutmeg, Cloves, Mace"
Sabzi masala,MDH,"Coriander seeds,Cumin, Unripe Dry Mango, Red Chilli, Mustard seeds, lodised Salt, Pomegranate seeds, Cassia, Turmeric, Black Pepper, Salt Black, Garlic, Cardamom Amomum, Clove, Dried Ginger"
Pav Bhaji masala,MDH,"Coriander seeds, Red Chillies, Unripe Dry Mango, Cumin, lodised Salt, Fennel, Cassia, Dried Ginger, Black Pepper, Cardamom Amomum, Cloves, Star Anise, Nutmeg, Mace"
Chicken masala ,MDH,"Coriander seeds, Red,Chillies, Turmeric, Cumin, lodised Salt, Black Pepper, Fenugreek Leaves, Mustard seeds, Dried Ginger, Cassia, Cardamom Amomum, Cloves, Nutmeg, Mace, Asafoetida"
Meat masala,MDH,"Coriander seeds, Cumin, Red Chillies, Turmeric, Black Pepper, lodised Salt, Dried Ginger, Mustard seeds, Fennel, Garlic, Cassia, Fenugreek Leaves, Cardamom Amomum, Cloves,Nutmeg, Green Cardamom, Mace, Asafoetida"
Sambhar masala,MDH,"Coriander seeds,,Turmeric, Cumin, Red Chillies, lodised Salt, Fenugreek Seeds, Banarsi Rai, Mustard Seeds, Black Pepper, Cassia, Dried Ginger, Cardamom Amomum, Nutmeg, Cloves, Mace, Asafoetida"
Shahi paneer masala,MDH,"Coriander seeds, Red,Chillies, lodised Salt, Black Pepper, Turmeric, Garlic, Cassia, Dried Ginger, Fennel, Cardamom Amomum, Cloves, Nutmeg, Mace"
Kashmiri mirch powder,MDH,Red chilli
Yippee masala pasta,ITC,"PASTA: Wheat Semolina (Suji) (100%).
MASALA PASTA SAUCEMAKER: Dairy Whitener (Milk Solids, Sugar),
lodized Salt, Instant Noodle Powder [Refined Wheat Flour (Maida), Refined Palm Oil, lodized Salt and Wheat Gluten], 'Spices and Condiments, Hydrolyzed Vegetable Protein, Sugar, Onion Powder, Hydrogenated Vegetable Oil, Dehydrated Garlic Bits (2.5%), Natural Flavours and Natural Flavouring Substances, Flavour Enhancers (INS 627, INS 631), Acidity Regulator (INS 330) and Dehydrated Fenugreek Leaves (0.04%).
'Used as Flavouring agents"
Sunfeast Dark Fantasy,ITC,"CHOCO CRÈME (38.0%) (SUGAR, REFINED ,PALMOLEIN, REFINED PALM OIL, COCOA SOLIDS, EMULSIFIER [LECITHIN (FROM SOYABEAN)], NATURE IDENTICAL FLAVOURING SUBSTANCES (CHOCOLATE), ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA)), MAIDA (REFINED WHEAT FLOUR), HYDROGENATED VEGETABLE OIL, SUGAR, INVERT SYRUP, LIQUID GLUCOSE, RAISING AGENTS (503(ii), 500(ii), 450(i)), COCOA SOLIDS (0.7%), BUTTER, MILK SOLIDS, IODIZED SALT, NATURE IDENTICAL FLAVOURING SUBSTANCES (*MILK CHOCOLATE), COLOURS (150c, 150d), EMULSIFIERS [LECITHIN (FROM SOYABEAN), MONO AND DIGLYCERIDES OF FATTY ACIDS (FROM PALM OIL)], ARTIFICIAL FLAVOURING SUBSTANCES (MILK, VANILLA).
"
Sunfeast Moms magic,ITC,"
Refined Wheat flour (Maida), sugar, refined plam oil, cashew bits, Almond flakes, Invert syrup, Milk solids, Edible common salt, Butter."
Sunfeast bounce creme biscuits,ITC,"REFINED WHEAT FLOUR (MAIDA), SUGAR, REFINED PALM OIL, INVERT SYRUP, RAISING AGENTS (INS 450(i), INS 500(ii), INS 503(ii)), LIQUID GLUCOSE (1.0%), COLOURS (INS 122, INS 150d, INS 150c), COCOA SOLIDS (0.5%), IODIZED SALT, EMULSIFIERS [LECITHIN (FROM SOYABEAN), POLYOXYETHYLENE SORBYTON MONOSTEARATE (FROM PALM)], ARTIFICIAL FLAVOURING SUBSTANCES (MILK, VANILLA, CHOCOLATE), MILK SOLIDS, STARCH, PLAIN CHOCOLATE (0.06%){SUGAR, COCOA SOLIDS, COCOA BUTTER, EMULSIFIERS [LECITHIN (FROM SOYABEAN), POLYGLYCEROL ESTERS OF INTERESTERIFIED RICINOLEIC ACID (FROM CASTOR BEAN)]), FLOUR TREATMENT AGENT (INS 223) AND NATURE IDENTICAL FLAVOURING SUBSTANCES"
Tomato ketcup,Kissan,"WATER, TOMATO PASTE (28%), SUGAR, IODISED SALT, ACIDITY REGULATOR - E260, STABILIZERS - E1422, E415, PRESERVATIVE - E211, ONION POWDER, GARLIC POWDER, SPICES AND CONDIMENTS."
Fruit Jam,Kissan,"SUGAR. MIXED FRUIT PULP BLEND 60% (PAPAYA PULP, PEAR PULP, APPLE JUICE, BANANA PULP, PINEAPPLE JUICE, ORANGE JUICE, MANGO PULP, GRAPE JUICE)#. ACIDITY REGULATOR - E330, THICKENER E440, IODISED SALT, VITAMINS & MINERALS, PRESERVATIVE -E202, NATURAL FLAVOURING SUBSTANCES, FOOD COLOUR - E122."
Chilli Tomato Sauce,Kissan,"WATER, SUGAR, TOMATO ,PASTE# (22.4%), CHILLI PUREE (3.8%), IODISED SALT, ACIDITY REGULATOR - E260, STABILIZERS - E1422, E415, GARLIC POWDER, ONION POWDER, PRESERVATIVE - E211, NATURE IDENTICAL FLAVOURING SUBSTANCE, SPICES AND CONDIMENTS."
Rava Idli Mix,MTR,"Wheat Semolina (84%), Interesterified vegetable fat, Bengal Gram splits, Cashew Nuts (2%), lodised Salt, Curry leaves, Raising agent [INS 500 (ii)], Anticaking agent (INS 551), Mustard seed, Green Chilli and Ginger.
"
Dosa Mix,MTR,"Wheat Semolina (84%), Interesterified vegetable fat, Bengal Gram splits, Cashew Nuts (2%), lodised Salt, Curry leaves, Raising agent [INS 500 (ii)], Anticaking agent (INS 551), Mustard seed, Green Chilli and Ginger"
Instant Poha,MTR,"Rice Flakes (75%), Interesterified Vegetable fat Peanuts (3%), Dehydrated onion, Iodised Salt, Sugar, Green chilli, Curry leaves (1%), Mustard, Maltodextrin (Corn) Cumin, Tumeric, Powder, Acidity regulators (INS 330 and INS 334) and Natural Substance.
"
Aam Panna,Paper Boat,"WATER, MANGO PUREE,(14%) SWEETENERS (968, 955), LEMON JUICE CONCENTRATE (0.3%)*, SPICES AND CONDIMENTS (CUMIN POWDER, AMCHUR POWDER, BLACK PEPPER POWDER AND RED CHILLI POWDER), IODISED SALT, FLAVOURS (NATURAL AND NATURE- IDENTICAL FLAVOURING SUBSTANCES), ACIDITY REGULATOR (296), STABILIZERS (466, 412), ANTIOXIDANT (300) AND BLACK SALT.10% MANGO-LEMON JUICE.CONTAIN NON-CALORIC SWEETENER"
Aamras,Paper Boat,"WATER, MANGO PULP (25%), SUGAR, ACIDITY REGULATOR (INS 330), FLAVOURS (NATURE-IDENTICAL AND NATURAL FLAVOURING SUBSTANCES), STABILIZER (INS 440), ANTIOXIDANT (INS 300), CARDAMOM POWDER AND SAFFRON POWDER"
Frooti,Parle Agro,"WATER, SUGAR, MANGO PULP (11.2%),
ACIDITY REGULATORS [INS 330, INS 331(iii)), NATURE -IDENTICAL FLAVOURING SUBSTANCES (MANGO), STABILIZERS (INS 466, INS 415), ANTIOXIDANT (INS 300), FOOD COLOUR (INS 110) AND ANTIFOAMING AGENT (INS 900a)
(INS-INTERNATIONAL NUMBERING SYSTEM)
NO ADDED PRESERVATIVE"
Smoodh Chocolate milk,Parle Agro,
Appy Fizz,Parle Agro,"WATER, SUGAR, APPLE JUICE CONCENTRATE (1.9%)
[EQUIVALENT TO 12.7% APPLE JUICE (RECONSTITUTED)], CARBON DIOXIDE (INS290)*, ACIDITY REGULATORS [INS296, INS331(iii), INS330], PRESERVATIVE (INS211), NATURAL COLOUR (INS150d), ANTIOXIDANT (INS300) AND NATURE-IDENTICAL FLAVOURING SUBSTANCES (APPLE)
CONTAINS PERMITTED NATURAL COLOUR (INS150d) AND ADDED FLAVOUR [NATURE-IDENTICAL FLAVOURING SUBSTANCES (APPLE)]

"
Appy Apple Juice,Parle Agro,"WATER, SUGAR, APPLE JUICE CONCENTRATE (2.1%) [EQUIVALENT TO 14% APPLE JUICE (RECONSTITUTED)], ACIDITY REGULATORS [INS 296, INS 330, INS 331(iii)], STABILIZER (INS 440), FOOD COLOUR (INS 150d), ANTIOXIDANT (INS 300) AND NATURE-IDENTICAL FLAVOURING SUBSTANCE (APPLE) (INS - INTERNATIONAL NUMBERING SYSTEM) NO ADDED PRESERVATIVE"
,Parle Agro,
Schezwan Chutney,Chings,"Water, Cotton Seed Oil, Sugar, lodised Salt, Chilli, Garlic, Onion, Thickener (INS 1422), Ginger, Acidity Regulator (INS 260), Flavour Enhancer (INS 635), Spices (White Pepper, Schezwan Pepper), Preservatives (INS 202, INS 211), Natural Flavouring Substances.
"
Red Chilli Sauce,Chings,"Water, Sugar, Red Chilli (6%), Garlic, Ginger, Salt, Acidity Regulator (E260), Thickener (E1422), Emulsifying & Stabilizing Agent (E415), Acidity Regulator (E330), Preservative (E211).
"
Green Chilli Sauce,Chings,"Water, Green Chilli (30%), Salt, Sugar, Thickener (E1422), Garlic Powder, Acidity Regulator (E296, E260), Emulsifying & Stabilizing Agent (E415), Spices (Cumin Powder, Coriander Powder), Preservative (E211).
"
Hakka Noodles Masala,Chings,"lodised Salt, Mixed Spices (17.5%) [Chilli, Cumin, Coriander], Sugar, Garlic Powder, Onion Powder, Flavour Enhancer (INS 635), Soy Sauce Powder (Soybean, Wheat, Salt), Anticaking Agent (INS 551), Acidity Regulators (INS 330, INS 260), Sunflower Oil, Natural Flavouring Substances."
Schezwan fried rice masala,Chings,"Iodised Salt, Mixed Spices (13.5%) [Chilli, Ginger, Pepper], Garlic Powder, Sugar, Onion Powder, Flavour Enhancer (INS 635), Soy Sauce Powder (Soybean, Wheat, Salt), Acidity Regulator (INS 330), Anticaking Agent (INS 551), Beet Root Powder, Sunflower Oil, Natural Flavouring Substances."
Hot garlic instant noodles,Chings,"Refined Wheat Flour (Maida), Refined Palm Oil, Iodised Salt, Wheat Gluten, Thickener (INS 508), Stabilizer (INS 451 (i)), Acidity Regulator (INS 501 (i)), Raising Agent (INS 500 (ii)), Antioxidant (INS 319), Dehydrated Garlic (37%), Iodised Salt, Tomato Powder [Tomato Solids, Maltodextrin, Anticaking Agent (INS 551)], Sugar, Chilli Flakes, Natural and Nature-Identical"
Manchow cook  up soup,Chings,"Corn Flour, Dehydrated Vegetables (21%) [Carrot, Cabbage, Mushroom], Iodised Salt, Dried Glucose Syrup, Sugar, Soy Sauce Powder (Soybean, Wheat, Salt), Dehydrated Garlic, Flavour Enhancer (INS 635), Pepper Powder, Onion Powder, Natural Colour (INS 150d), Acidity Regulator (INS 260), Thickener (INS 415), Sunflower Oil, Anticaking Agent (INS 551), Chilli Powder"
Schezwan instant noodles,Chings,"Refined Wheat Flour (Maida), Refined Palm Oil, Iodised Salt, Wheat Gluten, Thickener (INS 508), Stabilizer (INS 451 (i)), Acidity Regulator (INS 501 (i)), Raising Agent (INS 500 (ii)), Antioxidant (INS 319), Corn Starch, Iodised Salt, Dehydrated Garlic, Sugar, Mixed Spices [Chilli (5.1%), Ginger], Dehydrated Onion, Flavour Enhancer (INS 635), Soy Sauce Powder [Colour"
Paneer chilli masala,Chings,"Corn Flour, lodised Salt, Dehydrated Garlic, Mixed Spices (6%) [Chilli Ginger, Cumin, Coriander, Pepper], Sugar, Onion Powder, Natural Colour (INS 150d), Flavour Enhancer (INS 635), Tomato Powder, Soy Sauce Powder (Soybean, Wheat, Salt), Anticaking Agent (INS 551), Thickening & Stabilizing Agent (INS 415), Dried Glucose Syrup, Sunflower Oil, Acidity Regulator"
Veg manchurian masala,Chings,"Corn Flour, Mixed Spices 22% (garlic, onion, ginger, cumin, chilli, coriander, pepper), Salt, Sugar, Soy Sauce Powder (soybean, wheat, salt), Natural Colour (E150d), Flavour Enhancer (E635), Stabilizing Agent (E415), Acidifying Agent (E260), Anticaking Agent (E551), Sunflower Oil"
Hot & sour instant soup,Chings,"Corn Flour, Dehydrated Vegetables (20%) [Carrot, Cabbage, Mushroom], Iodised Salt, Sugar, Dried Glucose Syrup, Dehydrated Garlic, Flavour Enhancer (INS 635), Onion Powder, Natural Colour (INS 150d), Chilli Powder, Acidity Regulator (INS 260), Soy Sauce Powder (Soybean, Wheat, Salt), Thickener (INS 415), Pepper Powder, Sunflower Oil, Anticaking Agent (INS 551)"
Sweet corn soup,Chings,"Corn Flour, Sugar, Dehydrated Vegetables (20%) [Sweet Corn (13%), Carrot, Cabbage], Iodised Salt, Dried Glucose Syrup, Flavour Enhancer (Ins 635), Thickener (Ins 415), Acidity Regulator (Ins 330), Onion Powder, Yeast Extract, Soy Sauce Powder (Soybean, Wheat, Salt), Garlic Powder, Sunflower Oil, Pepper Powder, Anticaking Agent (Ins 551), Chilli Powder, Turmeric Powder,"
Momo Chutney,Chings,"Water, Garlic, Refined Cotton Seed Oil [Antioxidant (Ins 319)], Ginger, Dried Glucose Syrup, Green Chilli Paste (Green Chilli, Lodised Salt, Acidity Regulator (Ins 260), Preservative (Ins 211)), Tomato Paste, Lodised Salt, Sugar, Chilli, Thickener (Ins 1422), Dehydrated Garlic, Acidity Regulator (Ins 260), Flavour Enhancer (Ins 635), Colour (Ins 160C (I)), Natural Flavour, Preservatives (Ins 211, Ins 202)"
American cream & onion potato chips,Too Yumm,"Potato, Edible Vegetable Oil (Rice Bran), Seasoning (Sugar, Maltodextrin, Iodised Salt), *Spices & Condiments (Onion Powder, Parsley Powder), Milk Products (Milk Solids, Cheese Powder), Flavour Enhancers, Gelling Agent, Anticaking Agent, Stabilizer, Natural and Nature Identical Flavouring Substances"
Indian masala flavour potato chips,Too Yumm,"Potato (56%), Edible Vegetable Oil (Rice Bran Oil), Seasoning [Iodised Salt, Spices & Condiments (Contains Onion and Garlic), Sugar, Rice Flour, Hydrolyzed Vegetable Protein, Mango Juice Powder, Tomato Powder, Anticaking Agent (INS 551), Acidity Regulators (INS 296, INS 334, INS 330), Flavour Enhancers (INS 627, INS 631), Colour (INS 160c), Natural and Nature Identical Flavouring Substances]"
Chilli chataka veggie stix,Too Yumm,"Corn Flour (47%), Rice Flour (30%), Edible Vegetable Oil (Palmolein Oil), Seasoning (Iodised Salt, Sugar, Spices & Condiments (Contains Chilli (5%), Garlic and Onion)), Acidity Regulator (INS 330), Anticaking Agent (INS 551), Dehydrated Herb, Flavour Enhancers (INS 627, INS 631), Antioxidant (INS 300), Natural and Nature Identical Flavouring Substances, Refined Wheat Flour (Maida) (2.5%), Sugar, Potato Powder (1.5%), Tomato Powder (0.8%), Anticaking Agent (INS 170), Iodised Salt, Yeast Extract"
Dahi papdi chaat mutigrain chips,Too Yumm,"Corn Flour (31%), Whole Wheat Flour (Atta) (22%), Edible Vegetable Oil (Rice Bran Oil), Rice Flour (18%), Seasoning [Sugar, lodised Salt, *Spices & Condiments, Black Salt, Acidity Regulators (INS 330, INS 334), Milk Solids, Anticaking Agent (INS 551), Natural and Nature Identical Flavouring Substances, Stabilizer (INS 414), Flavour Enhancers (INS 627, INS 631)], Gram Flour (5%), Oats (1%), Anticaking Agent (INS 170), Colour (INS 150d)"
Bhoot chips,Too Yumm,"Potato, Edible Vegetable Oil (Rice Bran Oil), Sugar, Spices and Condiments (Chilli), Iodised Salt, Maltodextrin, Nature Identical Flavouring Substances, Starch, Acidity Regulator (INS 33), Anticaking Agent (INS 551, INS 47), Flavour Enhancer (INS 627, INS 631), Emulsifying and Stabilizing Agent (INS 471), Natural Flavouring Substances"
Sour Cream & Onion Crisps Veggie Stix,Too Yumm,"Corn Flour (43%), Rice Flour (27%), Edible Vegetable Oil (Rice Bran Oil), Seasoning [Sugar, Maltodextrin, Iodised Salt, Milk Solids, Spices and Condiments (Contains Onion), Shortening Powder [Stabilizers (INS 339(ii), INS 340(ii), INS 407), Emulsifier (INS 471), Anticaking Agent (INS 551), Acidity Regulator (INS 331(iii))], Natural and Nature-Identical Flavouring Substances, Acidity Regulators (INS 296, INS 330), Flavour Enhancer (INS 635), Herb, Anticaking Agent (INS 551), Yeast Extract], Refined Wheat Flour (Maida) (2.3%), Sugar, Potato Powder (1.4%), Spinach Powder (0.8%), Anticaking Agent (INS 170), Iodised Salt, Yeast Extract, Colour (INS 141(ii)) +Used as Natural Flavouring Agent"
Salted peanuts,Too Yumm,"Peanuts (97%), Iodised Salt (1.1%), Edible Vegetable Oil (Rice Bran)"
Masala banana chips,Too Yumm,"Banana (67%), Edible Vegetable Oil ,(Rice Bran Oil), Seasoning [lodised Salt, *Spices and Condiments (Contains Onion, Garlic, Chilli), Maltodextrin, Sugar, Black Salt, Natural and nature Identical Flavouring Substances, Yeast Extract, Flavour Enhancers (INS 627, INS 631), Acidity Regulator (INS 330, INS 296), Anticaking Agent (INS 551), Antioxidant (INS 319)]
"
Karare munchy masala,Too Yumm,"Rice Grits, Corn Grits, Edible Vegetable Oil (Rice Bran Oil), Seasoning [Maltodextrin, lodised Salt, Spices and Condiments (Contains Onion and Garlic), Sugar, Acidity Regulator (INS 330), Natural & Nature Identical Flavouring Substances, Flavour Enhancers (INS 627, INS 631), Anticaking Agent (INS 551), Chilli]"
Puffs Savage masala,Too Yumm,"Corn Grits, Edible Vegetable Oil (Rice Bran), Rice Grits, Seasoning [Iodised Salt, *Spices & Condiments (Contains Onion and Garlic), Maltodextrin, Black Salt, Sugar, Natural and Nature Identical Flavouring Substances, Flavour Enhancer (INS 627, INS 631), Tomato Powder, Acidity Regulator (INS 33, INS 296), Anticaking Agent (INS 551), Antioxidant (INS 319)], Anticaking Agent (INS 17), Iodised Salt"
Mshti Doi,Mother Dairy," Milk, Sugar, Milk Solids and Active Lactic Culture"
Masala Chach,Mother Dairy,"Ingredients: Water, Milk, Milk Solids, lodized salt, Stabilizers (440), Seasoning, Acidity Regulator (330), Black Salt and Lactic Culture."
Processed cheese cubes,Mother Dairy,"Cheese, Water, Milk Solids,Emulsifier [INS 331 (iii),INS 452 (i)], lodized Salt, Acidity Regulator (INS 260) and Preservative (INS 200)."
Fruit yoghurt - blueberry,Mother Dairy,"Milk, Sugar (12.5%), Milk Solids, Blueberry Fruit Preparation-4% [Blueberry Fruit (50% of Fruit Preparation), Water, Thickener (1442), Acidity Regulator (330) and Preservative (202)], Thickener (1442), Dried Citrus Pulp and Active Lactic Culture"
Chocolate cookie crumb ice cream,Mother Dairy,"Water, Milk Solids, Sugar, Cookies -8% Refined Wheat flour (Maida), Sugar, Edible Vegetable Fat (Hydrogenated) (Palm Oil & its Fractions, Sesame Oil), Invert Syrup,"
Kashmirilal ground chilli powder,Everest,chilli
